epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
68,107.953,0.36638,0.54426,0.42191,0.86603,0,0.96491,0.93548,0.91685,0.85916,0.99819,0.96774,0.96511,0.7917,0.40779,0.7598,0.36414,0.91979,0,0.0040101,0.0013367,0.0040101,0.0013367,0.0040101,0.0013367,0.0040101,0.0013367
69,109.338,0.32542,0.4898,0.38924,0.87154,0,0.96497,0.93548,0.91795,0.86132,0.99824,0.96774,0.9651,0.78471,0.39267,0.76264,0.37204,0.91237,0,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
70,110.715,0.33866,0.55201,0.409,0.87115,0,0.965,0.93548,0.92228,0.87273,0.99828,0.96774,0.96511,0.79773,0.40018,0.77455,0.36277,0.91105,0,0.0039507,0.0013169,0.0039507,0.0013169,0.0039507,0.0013169,0.0039507,0.0013169
71,112.178,0.36436,0.49405,0.42469,0.85806,0,0.96504,0.93548,0.91918,0.87935,0.99836,0.96774,0.96511,0.79968,0.39311,0.7849,0.3699,0.90561,0,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
72,113.626,0.36359,0.51865,0.40179,0.87283,0,0.9651,0.93548,0.92118,0.87699,0.99842,0.96774,0.96511,0.79828,0.40085,0.80028,0.37077,0.9057,0,0.0038913,0.0012971,0.0038913,0.0012971,0.0038913,0.0012971,0.0038913,0.0012971
73,115.004,0.33242,0.50651,0.40458,0.85141,0,0.96501,0.93548,0.91919,0.86781,0.99828,0.96774,0.96511,0.79428,0.39774,0.80562,0.3519,0.90271,0,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
74,116.379,0.33175,0.49222,0.38998,0.83921,0,0.965,0.93548,0.91786,0.87986,0.99827,0.96774,0.96512,0.79717,0.3928,0.8054,0.35368,0.90757,0,0.0038319,0.0012773,0.0038319,0.0012773,0.0038319,0.0012773,0.0038319,0.0012773
75,117.755,0.34788,0.5197,0.40823,0.8869,0,0.965,0.93548,0.91687,0.8441,0.99827,0.96774,0.96512,0.78995,0.38179,0.80404,0.34914,0.90584,0,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
76,119.125,0.32844,0.49911,0.37222,0.8473,0,0.96499,0.93548,0.9202,0.85466,0.99827,0.96774,0.96512,0.78978,0.37444,0.78859,0.34663,0.90523,0,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575
77,120.497,0.34703,0.50624,0.39091,0.85294,0,0.96499,0.93548,0.92033,0.87178,0.99826,0.96774,0.96512,0.78978,0.37318,0.78292,0.33937,0.90082,0,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
78,121.87,0.32325,0.47567,0.35784,0.86017,0,0.96495,0.93548,0.92466,0.87075,0.99822,0.96774,0.96512,0.79356,0.35579,0.76254,0.33137,0.90009,0,0.0037131,0.0012377,0.0037131,0.0012377,0.0037131,0.0012377,0.0037131,0.0012377
79,123.24,0.32842,0.46323,0.37563,0.8463,0,0.96495,0.93548,0.92887,0.87674,0.99823,0.96774,0.96512,0.78982,0.35644,0.76023,0.3351,0.90211,0,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
80,124.621,0.3229,0.46091,0.36609,0.83866,0,0.965,0.93548,0.91787,0.86633,0.99827,0.96774,0.96512,0.79948,0.36011,0.76315,0.31741,0.90806,0,0.0036537,0.0012179,0.0036537,0.0012179,0.0036537,0.0012179,0.0036537,0.0012179
81,125.995,0.31791,0.50129,0.36973,0.85022,0,0.965,0.93548,0.91388,0.86112,0.99828,0.96774,0.96512,0.79688,0.36846,0.76425,0.32692,0.90749,0,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
82,127.372,0.32171,0.48247,0.36555,0.84611,0,0.96496,0.93548,0.90955,0.85029,0.99824,0.96774,0.96513,0.79508,0.36381,0.76979,0.328,0.90488,0,0.0035943,0.0011981,0.0035943,0.0011981,0.0035943,0.0011981,0.0035943,0.0011981
83,128.757,0.32423,0.51144,0.37612,0.85129,0,0.96495,0.93548,0.91155,0.86329,0.99823,0.96774,0.96513,0.79522,0.34734,0.75955,0.33576,0.90938,0,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
84,130.126,0.33722,0.49349,0.39363,0.85469,0,0.96495,0.93548,0.91488,0.86261,0.99822,0.96774,0.96512,0.7945,0.38098,0.75466,0.33878,0.92464,0,0.0035349,0.0011783,0.0035349,0.0011783,0.0035349,0.0011783,0.0035349,0.0011783
85,131.497,0.33192,0.48378,0.355,0.85701,0,0.96495,0.93548,0.91787,0.86936,0.99822,0.96774,0.96512,0.79598,0.39904,0.74155,0.33976,0.92401,0,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
86,132.872,0.32451,0.50923,0.37935,0.85347,0,0.96496,0.93548,0.91787,0.86089,0.99823,0.96774,0.96512,0.79706,0.41214,0.73112,0.34046,0.92276,0,0.0034755,0.0011585,0.0034755,0.0011585,0.0034755,0.0011585,0.0034755,0.0011585
87,134.247,0.32988,0.50124,0.37639,0.85541,0,0.96497,0.93548,0.91619,0.859,0.99824,0.96774,0.96512,0.80856,0.37737,0.71413,0.33139,0.90278,0,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
88,135.618,0.3235,0.49286,0.3575,0.84548,0,0.965,0.93548,0.91952,0.85699,0.99827,0.96774,0.96512,0.79561,0.37147,0.70001,0.34289,0.89632,0,0.0034161,0.0011387,0.0034161,0.0011387,0.0034161,0.0011387,0.0034161,0.0011387
89,136.99,0.30885,0.50432,0.37379,0.85973,0,0.96494,0.93548,0.9234,0.86752,0.99822,0.96774,0.96512,0.7929,0.4033,0.70076,0.32463,0.91615,0,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
90,138.376,0.32756,0.4745,0.35515,0.8585,0,0.96495,0.93548,0.92408,0.87883,0.99822,0.96774,0.96512,0.79648,0.41536,0.67213,0.31753,0.9209,0,0.0033567,0.0011189,0.0033567,0.0011189,0.0033567,0.0011189,0.0033567,0.0011189
91,139.749,0.32277,0.47854,0.36548,0.83358,0,0.96496,0.93548,0.93154,0.88114,0.99827,0.96774,0.96512,0.79442,0.38833,0.67046,0.31155,0.91696,0,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
92,141.12,0.32476,0.47654,0.37005,0.85897,0,0.96501,0.93548,0.92754,0.88841,0.99828,0.96774,0.96512,0.80467,0.38153,0.66876,0.31798,0.91437,0,0.0032973,0.0010991,0.0032973,0.0010991,0.0032973,0.0010991,0.0032973,0.0010991
93,142.513,0.31362,0.47398,0.34486,0.83771,0,0.965,0.93548,0.92355,0.86953,0.99827,0.96774,0.96513,0.80164,0.39527,0.65998,0.32298,0.91557,0,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
